tanggal,kode_prov,nama_prov,SUSPECT,suspect_diisolasi,suspect_discarded,CLOSECONTACT,closecontact_dikarantina,closecontact_discarded,probable_discarded,probable_diisolasi,probable_meninggal,CONFIRMATION,confirmation_diisolasi,confirmation_selesai,confirmation_meninggal,suspect_meninggal_harian,closecontact_meninggal_harian
2020-03-01,32,Jawa Barat,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2020-03-02,32,Jawa Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,32,Jawa Barat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-03-04,32,Jawa Barat,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2020-03-05,32,Jawa Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,32,Jawa Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,32,Jawa Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,32,Jawa Barat,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020-03-09,32,Jawa Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,32,Jawa Barat,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020-03-11,32,Jawa Barat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-03-12,32,Jawa Barat,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020-03-13,32,Jawa Barat,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0
2020-03-14,32,Jawa Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,32,Jawa Barat,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
2020-03-16,32,Jawa Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,32,Jawa Barat,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0
2020-03-18,32,Jawa Barat,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
2020-03-19,32,Jawa Barat,0,0,0,0,0,0,0,0,0,8,7,0,1,0,0
2020-03-20,32,Jawa Barat,0,0,0,0,0,0,0,0,0,9,7,0,2,0,0
2020-03-21,32,Jawa Barat,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
2020-03-22,32,Jawa Barat,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0
2020-03-23,32,Jawa Barat,0,0,0,0,0,0,0,0,0,7,5,0,2,0,0
2020-03-24,32,Jawa Barat,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2020-03-25,32,Jawa Barat,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
2020-03-26,32,Jawa Barat,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
2020-03-27,32,Jawa Barat,0,0,0,0,0,0,0,0,0,28,25,0,3,0,0
2020-03-28,32,Jawa Barat,0,0,0,0,0,0,0,0,0,22,15,5,2,0,0
2020-03-29,32,Jawa Barat,0,0,0,0,0,0,0,0,0,28,25,1,2,0,0
2020-03-30,32,Jawa Barat,0,0,0,0,0,0,0,0,0,26,23,3,0,0,0
2020-03-31,32,Jawa Barat,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0
2020-04-01,32,Jawa Barat,0,0,0,0,0,0,0,0,0,26,18,3,5,0,0
2020-04-02,32,Jawa Barat,0,0,0,0,0,0,0,0,0,16,11,1,4,0,0
2020-04-03,32,Jawa Barat,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
2020-04-04,32,Jawa Barat,0,0,0,0,0,0,0,0,0,19,17,0,2,0,0
2020-04-05,32,Jawa Barat,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
2020-04-06,32,Jawa Barat,0,0,0,0,0,0,0,0,0,11,9,1,1,0,0
2020-04-07,32,Jawa Barat,0,0,0,0,0,0,0,0,0,77,74,3,0,0,0
2020-04-08,32,Jawa Barat,0,0,0,0,0,0,0,0,0,21,15,1,5,0,0
2020-04-09,32,Jawa Barat,0,0,0,0,0,0,0,0,0,10,2,2,6,0,0
2020-04-10,32,Jawa Barat,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
2020-04-11,32,Jawa Barat,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0
2020-04-12,32,Jawa Barat,0,0,0,0,0,0,0,0,0,30,25,1,4,0,0
2020-04-13,32,Jawa Barat,0,0,0,0,0,0,0,0,0,99,86,4,9,0,0
2020-04-14,32,Jawa Barat,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0
2020-04-15,32,Jawa Barat,0,0,0,0,0,0,0,0,0,29,27,1,1,0,0
2020-04-16,32,Jawa Barat,0,0,0,0,0,0,0,0,0,12,4,7,1,0,0
2020-04-17,32,Jawa Barat,0,0,0,0,0,0,0,0,0,60,42,15,3,0,0
2020-04-18,32,Jawa Barat,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0
2020-04-19,32,Jawa Barat,0,0,0,0,0,0,0,0,0,54,48,5,1,0,0
2020-04-20,32,Jawa Barat,0,0,0,0,0,0,0,0,0,29,22,4,3,0,0
2020-04-21,32,Jawa Barat,0,0,0,0,0,0,0,0,0,9,0,19,5,0,0
2020-04-22,32,Jawa Barat,0,0,0,0,0,0,0,0,0,6,0,4,3,0,0
2020-04-23,32,Jawa Barat,0,0,0,0,0,0,0,0,0,23,12,8,3,0,0
2020-04-24,32,Jawa Barat,0,0,0,0,0,0,0,0,0,74,69,3,2,0,0
2020-04-25,32,Jawa Barat,0,0,0,0,0,0,0,0,0,44,42,2,0,0,0
2020-04-26,32,Jawa Barat,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0
2020-04-27,32,Jawa Barat,0,0,0,0,0,0,0,0,0,39,35,3,1,0,0
2020-04-28,32,Jawa Barat,0,0,0,0,0,0,0,0,0,19,15,3,1,0,0
2020-04-29,32,Jawa Barat,0,0,0,0,0,0,0,0,0,38,34,4,0,0,0
2020-04-30,32,Jawa Barat,0,0,0,0,0,0,0,0,0,4,0,37,4,0,0
2020-05-01,32,Jawa Barat,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2020-05-02,32,Jawa Barat,0,0,0,0,0,0,0,0,0,31,28,2,1,0,0
2020-05-03,32,Jawa Barat,0,0,0,0,0,0,0,0,0,11,6,4,1,0,0
2020-05-04,32,Jawa Barat,0,0,0,0,0,0,0,0,0,196,188,7,1,0,0
2020-05-05,32,Jawa Barat,0,0,0,0,0,0,0,0,0,48,39,8,1,0,0
2020-05-06,32,Jawa Barat,0,0,0,0,0,0,0,0,0,20,7,10,3,0,0
2020-05-07,32,Jawa Barat,0,0,0,0,0,0,0,0,0,61,56,5,0,0,0
2020-05-08,32,Jawa Barat,0,0,0,0,0,0,0,0,0,23,19,2,2,0,0
2020-05-09,32,Jawa Barat,0,0,0,0,0,0,0,0,0,31,10,18,3,0,0
2020-05-10,32,Jawa Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,32,Jawa Barat,0,0,0,0,0,0,0,0,0,55,41,11,3,0,0
2020-05-12,32,Jawa Barat,0,0,0,0,0,0,0,0,0,56,56,0,0,0,0
2020-05-13,32,Jawa Barat,0,0,0,0,0,0,0,0,0,8,0,24,0,0,0
2020-05-14,32,Jawa Barat,0,0,0,0,0,0,0,0,0,9,3,5,1,0,0
2020-05-15,32,Jawa Barat,0,0,0,0,0,0,0,0,0,31,13,17,1,0,0
2020-05-16,32,Jawa Barat,0,0,0,0,0,0,0,0,0,25,24,1,0,0,0
2020-05-17,32,Jawa Barat,0,0,0,0,0,0,0,0,0,31,0,58,10,0,0
2020-05-18,32,Jawa Barat,0,0,0,0,0,0,0,0,0,27,0,77,13,0,0
2020-05-19,32,Jawa Barat,0,0,0,0,0,0,0,0,0,21,6,14,1,0,0
2020-05-20,32,Jawa Barat,0,0,0,0,0,0,0,0,0,176,175,1,0,0,0
2020-05-21,32,Jawa Barat,0,0,0,0,0,0,0,0,0,86,76,10,0,0,0
2020-05-22,32,Jawa Barat,0,0,0,0,0,0,0,0,0,40,29,10,1,0,0
2020-05-23,32,Jawa Barat,0,0,0,0,0,0,0,0,0,43,3,38,2,0,0
